date,open,high,low,close,volume
9/15/92,13.5258,13.5258,13.2723,13.2926,7314800
9/16/92,13.0594,13.1371,12.8261,12.9225,19267600
9/17/92,12.9427,13.0205,12.865,13.0205,9558400
9/18/92,12.9614,13.0594,12.9427,12.9816,9266400
9/21/92,13.0391,13.1371,13.0391,13.1169,5025200
9/22/92,13.1169,13.1557,12.9225,12.9427,6032800
9/23/92,12.9614,13.0205,12.9427,13.0003,4450000
9/24/92,13.0205,13.0205,12.7873,12.8261,6388800
9/25/92,12.8261,12.9225,12.7484,12.7873,6580400
9/28/92,12.7484,12.8837,12.7484,12.865,4589200
9/29/92,12.7873,12.865,12.5929,12.5929,8558800
9/30/92,12.495,12.6505,12.4375,12.5541,12027200
10/1/92,12.5929,12.6116,12.4375,12.4561,8548800
10/2/92,12.4763,12.5152,12.1654,12.2043,13153200
10/5/92,12.1452,12.2618,11.7379,12.2618,15406400
10/6/92,12.3007,12.495,12.2229,12.3986,7226400
10/7/92,12.4173,12.4375,12.1265,12.1841,5016800
10/8/92,12.2618,12.3597,12.2043,12.3395,4831200
10/9/92,12.3395,12.4173,12.1654,12.2043,5417600
10/12/92,12.2229,12.282,12.1841,12.2043,3519600
10/13/92,12.2431,12.4375,12.1841,12.2431,5924000
10/14/92,12.1841,12.2618,11.9322,12.1265,7798800
10/15/92,11.3881,11.5233,11.1937,11.329,33316000
10/16/92,11.329,11.329,10.7071,10.9994,30614000
10/19/92,10.9014,10.9217,10.6496,10.6496,15607200
10/20/92,10.7662,10.8237,10.533,10.6294,13419600
10/21/92,10.6682,10.746,10.6107,10.6496,11067600
10/22/92,10.6885,10.7273,10.5719,10.6496,9732400
10/23/92,10.6496,10.7848,10.6294,10.746,8948400
10/26/92,10.6496,10.6885,10.4941,10.4941,10102800
10/27/92,10.435,10.4553,10.1054,10.2221,18146800
10/28/92,10.2221,10.435,10.2018,10.435,11386000
10/29/92,10.4739,10.5128,10.2018,10.2609,10283200
10/30/92,10.2609,10.4739,10.2609,10.3962,9178000
11/2/92,10.4164,10.7273,10.4164,10.7071,9288400
11/3/92,10.6496,10.8626,10.6496,10.746,9500800
11/4/92,10.7273,10.8237,10.5905,10.6107,8319200
11/5/92,10.6267,10.6473,10.3892,10.4288,8544800
11/6/92,10.3497,10.5286,10.2911,10.489,10569200
11/9/92,10.489,10.7059,10.489,10.6869,8865600
11/10/92,10.7059,10.7661,10.4288,10.4288,8748400
11/11/92,10.3892,10.4098,10.2119,10.2911,12580400
11/12/92,10.3101,10.3497,10.1518,10.1518,12532000
11/13/92,10.2705,10.3101,10.1328,10.2705,7405200
11/16/92,10.2515,10.3702,10.2309,10.2705,7060400
11/17/92,10.2705,10.2911,10.1328,10.1723,8082800
11/18/92,10.1518,10.1913,9.9349,9.995,10828400
11/19/92,9.9744,10.1138,9.6578,9.6974,13230400
11/20/92,9.7179,9.9159,9.6388,9.8557,14860800
11/23/92,9.8763,10.1138,9.8557,10.014,8880800
